Bakery Name,Overall Rating,Review Date,Location,Review Text,Reviewer Name,Star Rating
Barbakan Delicatessen,4.8,23-Aug-15,Manchester,"Barbakan is an excellent deli, with some astonishingly low prices (a large and sumptuous looking pork pie was less than £3). There's lots to look at and a nice outdoor eating area where on Saturday morning they were cooking up several varieties of sausage, plus lamb burger. I had a delicious bratwurst and was particularly delighted by the wide range of condiments.

Excited already for my next visit!",Natalie W.,5 star rating
Barbakan Delicatessen,4.8,20-Nov-16,Manchester,"TL;DR - Really nice food store and eatery.

We popped down here on a cold winter's morning after hearing so many good things about the place. First impression - it's popular! The queue was stretching out of the door!

The main part of the unit is a shop with lots of different food produce for sale, from the locally sourced through the exotic and unusual. Whether you need local honey or an exotic spice, you'll find it here. Along the back of the store and the right hand wall are counters with all manner of produce for sale - sandwiches, cheese, charcuterie... all looking delicious and tempting. Behind the counter is what they're famous for here - many, many different types of bread. There's also an outdoor seating area where a BBQ was serving up hot food to order.

We came and had a couple of hot ciabattas which were really nice, along with a cup of coffee, and the price was very reasonable (about £5 each). They do a nice loyalty deal too, where after 5 sandwich and coffee purchases you get another free, and after three free ones you can enter a prize draw.

My main reason for not giving a full five stars is the complicated queueing system. There were two queues - one for the BBQ and another for the counter, but if you were waiting for the counter you were supposed to take a numbered ticket... which kinda made the queue irrelevant, and it wasn't obvious you should take a ticket. As a result, people were getting to the front of the queue without tickets and getting served and a few people were getting quite irate.

All in all, it's a nice place which is possibly let down just a fraction by its own sheer popularity.",Paul B.,4 star rating
Barbakan Delicatessen,4.8,18-Oct-15,Manchester,"Shop/deli/bakery serving a selection of hot breakfast items. Bacon or vegetarian sausage with free range eggs on ciabatta or a barm. Plus a few extras and variations on that.

I selected a bacon & egg ciabatta with tomato ketchup. It was very tasty, though there was only just enough bacon. I also ordered a tea, which could have been a bit hotter.

The shop sells a varied mixture of goods. You wouldn't do a weekly shop here but if you need vanilla pods or a jar of Polish horseradish then you can get it here.

Why not the full five stars? Firstly, the lady who served me made no effort to be friendly, or even particularly pleasant. Secondly there's only seating for 2 people indoors. The rest of the seating is outside. That's OK in July and August but not for the other 10 months of the year.

Various different sausages and onions were being cooked on a grill outside. I'll go back for lunch someday and try one.",James C.,4 star rating
Barbakan Delicatessen,4.8,07-Sep-15,Manchester,"After a caffeine fuelled Monday morning I needed something quick, tasty and filling to spark my afternoon. I was in the area and had read some good things about Barbakan so I thought I'd give them a shot. I'm glad I did!

I ordered a sarnie that wasn't even on the menu, yet the member of staff who served me, who was an absolute delight, had no problem going back and making it for me. I have to give her a special mention as it was probably the friendliest and cheery customer service I had ever received, anywhere. I think the Sandwich (a good size for lunch) and a bottle of water set me back £4 - I'd pay that for the customer service alone!

Now they are much more than a sandwich shop, they boast a large cheese counter and a good selection of Deli meats as well as other essentials you might need to grab if you can't make it out to a big supermarket or prefer shopping local (Yelp brownie points if you do).

A great place, that seems to handle all aspects really well - oh yeah, and the customer service is fantastic, don't think I mentioned that yet?",Matt F.,5 star rating
Barbakan Delicatessen,4.8,08-Jan-18,"Uttoxeter, Staffordshire","Give. Me. All. The. Bratwurst.                                     I mean, I could easily stop my review right there. Yes, a cute little grocery shop with local, and organic produce that everybody can enjoy. Yes their bakery is wonderful and always sells out every weekend. Yes they have a cheese counter that would make most people weak at the knees.But the thing that will make you make a special journey to Chorlton are the selection of sausages that they cook on their outside griddle on a Saturday. Absolutely delicious! With a selection of sauces ranging from sweet onion jam to a variety of mustards, the perfect topping makes this one of the best meals I've eaten in the whole of Manchester. And at a snip at £3.50 each, it's not only scrummy but a bargain too!",Marie U.,5 star rating
Barbakan Delicatessen,4.8,30-Jan-10,Brighton,"Fresh bagels w cream cheese and gherkins
Norlander rye bread with caraway seeds
Margarita olive bread
Sunblush tomatoes
Creamy Goats cheese
Gooey Taleggio
Pecorrino
Kalamata olives
Seranno ham
Smoked salmon
Potato salad
Fresh coffee
& Traditional Polish cheesecake

In a word: YuMMMMMMMy.",Sarah-Jane B.,5 star rating
Barbakan Delicatessen,4.8,24-Jun-14,Manchester,"How and why have I not reviewed the Barbakan yet?!

It is one of the great tragedies of my life that by the time I get off the bus in Chorlton on an evening the Barbakan is already closed - and yet smells unreasonably delicious.

Saturday mornings are my usual time to visit, for a bacon and egg ciabatta and a cake. I never plan to get a cake but the selection is so tempting that I can't seem to leave without one. Anything that involves flaky pastry and a fruity filling has been a winner so far. I would also recommend the cream-filled doughnut. Price are not cheap but also nothing out of the ordinary for Chorlton.

Be warned there is sometimes a thoroughly confusing ticket system in operation for the queues when it gets busy. My first experience of this was walking past the ticket dispenser, jumping in the queue and then standing there looking lost until someone took pity on me.

If you like bread, meat, cheese or olives you're in luck here. My current recurring daydream is buying a huge hamper of their goodies and heading off for a picnic.

Head over on a Saturday lunchtime for a sausage cooked in a huge pan outside. I opted for a Polish sausage with onions and a range of sauces, and a portion of fried potatoes split between 2 (these portions are huge!).

Overall I think the Barbakan is an absolute gem and I feel really lucky to live so close by.",Emily B.,5 star rating
Barbakan Delicatessen,4.8,07-Apr-16,Manchester,"My other half used to live near the Barbakan before I moved to Manchester. With her being in a house share, with a less than ideal cooking situation and us both being pretty lazy, the Barbakan was always an ideal solution.

We have popped in for breakfast sandwiches as well as the grill for lunch they do on a Saturday. Every time (there were quite a few occasions) we've always had great food provided. Further to this the bread and deli counters are great, offering a great variety of treats for those days when we opted not to have the sausages and potatoes being grilled outside.

The prices are good and the staff are friendly. The only complaints I would have is that there is sometimes a pretty big queue, their old school deli ticket numbering system isn't my thing and I think they're closed on Sundays. Which means my hangovers usually have to be taken care of elsewhere (booo!)

Overall the Barbakan is great and is one of the main reasons why I miss living in Chorlton.",Rich C.,5 star rating
Barbakan Delicatessen,4.8,05-Jul-13,"Los Angeles, United States","Local gem! Came to Manchester to visit my boyfriend's family and found this delicatessen on yelp. Great selection of breads, cured meats, cheeses and other grocery goodies. I shared a quiche and hot sandwich and was not disappointed. There is a nice patio out front to enjoy your purchases. I will be back for more!

Their website is very helpful with a nice youtube video. Enjoy!

---
Parking: Ample street parking...thumbs up!",Jen K.,5 star rating
Barbakan Delicatessen,4.8,09-Jul-16,Greater Manchester,What a fantastic deli situated amongst coffee shops tea room real ale and even a veggie supermarket. This place is special whether you come along on Saturday to sample the German street food that is cooked on the bbq outside the shop you can have Bockwurst sausage with sautéed potato and fried onion served on a large bun with mustard or ketchup. You might want to try a burger as well. Once inside you will be treated to s feast of European food at the deli counters. Cold nests cured meats cheese quiche olives German sausage polish sausage Amy kind of sausage. Bread is another speciality with polish rye being a particular favourite. You can get Italian bread brown bread white bread. Bread sticks. Chose from a selection of preserves  pate butter wine everyone should visit you will not be disappointed.,Catherine P.,5 star rating
Barbakan Delicatessen,4.8,04-Oct-15,Manchester,"This delicatessen in Charlton is one of the best places I've got visited in Manchester. As you walk in the store, there are counters at the side and back, each selling something different - olives, cheeses, salads, meats, bread cakes, sandwiches and finally hot soup.  You can sit outside on the patio to eat the food you have just bought, but there is no indoor seating. In the shop you can buy pasta, jams, luxury hampers etc.  I will definitely be going back for a breakfast again as the food was excellent.   This place gets five stars from me!",Andy H.,5 star rating
Barbakan Delicatessen,4.8,16-Nov-15,Manchester,"Barbakan Deli is pretty much the ultimate Chorlton location. It sells a very wide range of superb foods, both ready to eat and world food ingredients. If you were being unkind you might suggest that the reason it is literally the best reviewed eatery in Manchester (#1 on Yelp as I type) is partially down to the punters in Chorlton going hog-crazy for what it offers, but it still offers really good stuff at very solid value.

Barbakan is a foodie's dream, and specialises in 'the finer things'. Everything is done to a seriously high quality, but what impresses me most is the range. Barbakan succeeds in sourcing great bread (from bagels to posh loaves), cheese (the counter needs to be seen to be believed), cold meats (even more impressive than the cheese selection), salads, quiches, and more. On Saturdays they set up a BBQ on the patio and cook bratwurst and french sausage to order for £3.30 per hot dog. And if you want to whip up something nice at home they sell everything from tahini (at a much cheaper price than M&S) to fancy Italian pastas to Polish ingredients and even the odd kosher item. It is simply a one stop shop for anyone wanting to eat or cook something a bit special.

And the value is excellent. The food isn't dirt cheap, but it is hardly dear (and they have an odd habit of pricing things to non-rounded numbers, for some reason). Given the luxurious nature of most of what is on offer the prices are extremely reasonable. Is it the best place to buy food in Manchester? Who knows. But if you've ever got a spare bob or two in the weekly food budget then head to Barbakan, you won't be disappointed.",Pip M.,5 star rating
Barbakan Delicatessen,4.8,21-Oct-09,Manchester,"This is by far the best deli I have been to in Manchester. The food is gorgeous and freshly prepared in house.

The cakes and bread are so scrumptious you will never want to buy from any other shopped again. The bagels are my recommendation.

Chortlton has is so right with its fabulous bars and restaurants, when I discovered it had such an amazing deli...I did pause to consider moving out of the city centre to live there...it was only a pause mind as I am a city girl through and through. If there was a Barbakan in the city centre my life would be complete.





This is the nicest Deli I have ever been to - the food is fresh and appetising and beautifully displayed. There's a great choice including lots for veggies and the prices are pretty reasonable. The cakes are fabulous. Parking can be an issue nearby, and if your not local you could be disappointed if you don't get somewhere near by. The staff are very friendly too!",alexandra s.,5 star rating
Barbakan Delicatessen,4.8,24-Oct-09,"Hastings, East Sussex","I have to put a shout out to this Deli too. I haven't found a better one in Manchester yet. I mean, what other deli can boast over 40 years in operation, and being the preferred supplier of stores like Selfridges and Harvey Nicks?

There's so many varieties of meats, cheeses, breads, conserves, relishes, home made salads of vegetables, rice, pasta. They stock so many items from around the world that you just can't buy anywhere else. And don't get me started on the cakes and pastries in here, you won't know where to look or which one to try first.

The fact that the deli has just won the Food and Drink Supplier of Year again is further testament to this incredible food store.",Angela B.,5 star rating
Barbakan Delicatessen,4.8,12-Jan-10,Manchester,"In my last job it was decided to have a monthly 'team lunch'. Being a vegetarian and working in a team full of Germans, I was sceptical. Couldn't we just skip the salami and chit-chat and go home an hour early instead?

However, after the first lunch I noticed that I had suddenly become very popular among the Germans, and the reason why? Barbakan!

I had brought three fresh loaves from Barbakan that morning, which set me back around £5. It had taken all my inner strength not to bite the top off the delicious parmesan and herb baguette that had been sticking out of my shopping bag on the bus to work. The smell was even worth a fiver - amazing!

From then on in I was immediately requested to bring the bread for every team lunch, party, gathering etc and even used to pick up individuals' orders for 'the twisty rolls' or the 'dark German round loaf'. Barbakan's staff are always great, and on numerous occasions have patiently helped me to satisfy the picky taste buds of the Germans despite the queue of regulars with their numbered tickets waiting to be served.",Kirsten P.,5 star rating
Barbakan Delicatessen,4.8,05-Jan-13,Manchester,"Another update, this time on the glorious merits of eating in at Barbakan on a weekday lunchtime in winter. Of course, there -is- copious outside seating under cover for the good weather. But if you want to bag one of the ten or so bar stools inside, weekday would seem to be more realistic.

I've now uploaded a decent photo of the Mediterranean Sizzler toasted ciabatta (£3.50) which came out just as good as on a weekend, but much more quickly! I have to say that this ciabatta beats most pizzas I have ever eaten, and so in the vicinity of Barbakan I would henceforth only be interested in a very, very exquisite artisan pizza. Here's why:

- Cheap
- Not too much bread, but still satisfying enough that no-one of normal appetite would want a second or even another half
- Light, airy, crisp yet substantial Barbakan ciabatta freshly baked on the premises
- Served at perfect eating temperature
- Pizza-type ingredients - feta, roast mediterrean veg, fresh spinach - keeping it moist yet never soggy
- Very reliable - difficult to see Barbakan ever dropping the ball on this sandwich. (Contrast loads of pizzas with burnt or soggy bases *sigh*)

As I wanted a big feed, I also had mediterrean vegetable soup (see photo) which comes with a bread roll. Soup was something under £2 for a cup a bit smaller than Unicorn's £1.58 soup, but with bread roll included it all balances out, especially as it is tough to buy a small bit of bread at Unicorn. Soup, roll and sandwich adds up to a tasty, wholesome meal which makes plenty of inroads into my five-a-day. (OK, quite a high carb meal, but you said you wanted pizza!)

Lastly, when I asked, they were OK with swapping the free bread roll for a bagel, so I will have soup and bagel next time. So the future is looking bright - Happy New Year, everyone!",William G.,5 star rating
Barbakan Delicatessen,4.8,16-Apr-16,Belfast,"Delicious hot dogs, amazing range of sauces for the top! I had the French sausage with garlic and onions, half apple chutney and half mustard/ketchup..I'm only visiting Manchester but would definitely go back!",Eileen M.,5 star rating
Barbakan Delicatessen,4.8,31-Mar-14,Manchester,"The best hangover breakfast around! The sausage pan Saturday mornings draw large queues from the Chorlton crowd and beyond. Freshly cooked to order - huge portions and good value for money. And that's just outside!
Inside is a large selection of freshly cooked breads, meat, cheese, homemade baked goods (quiche, pastries, cakes) and salads. Also stocks international products and a variety of local producers.
Slightly more pricey than your average but not unaffordable for a deli. Quality of products always great.
And I get to live in walking distance!",Marisa R.,5 star rating
Barbakan Delicatessen,4.8,25-Jul-11,Manchester,"After shopping at Unicorn one Saturday morning the only sensible thing to do was to go to Barbakan since we could see it from our car and we were slightly hungry.

I tried to resist having anything to eat, my boyfriend had amazing bacon and sausage ciabatta, the ciabatta was so crisp and soft and chewy, beyond any other I've tried, and the sausage was AMAZING as well.


i don't really like bacon.

The place was really busy so I sat waiting for my partner to return from the counter and I tried SO hard to resist anything from the outdoor barbeque they had to set up. They had three or four different types of sausage, polish, french etc with roasted herby potatoes and onions. I tried really hard but couldn't resist and for four pounds i got an enormous french garlic hotdog with a mountain of onions and an inedible amount of scorchingly hot potatoes.

There were a million chutneys to try all of which were delicious. I feigned that I would be able to take the left overs home because it came in a polystyrene box but sadly I ate the whole thing :(.

It was a nice day and it was lovely to be able to sit outside and eat massive amounts of food.

The baked cheesecake they do is so out of this world. It's so creamy and dense and light at the same time somehow, it's worth driving there just for that. Where ever you are even if you are in Berlin.",Jessica Z.,4 star rating
Barbakan Delicatessen,4.8,10-Jun-14,Manchester,"Five stars. Barbakan can't be improved in my opinion. The bread is incredible and sets chorlton alive with the smell of fresh baking on a Saturday morning! They have everything covered, sandwiches, cakes, deli treats, and then to top it all off, they hold a weekly barbecue out front which knocks out bratwurst to put the European Market to shame. There's Paella, roasted potatoes garlic sausage and more. Outside seating is lovely even in the winter. Much like Frosts do with meat, Barbakan provide bread products to a host of restaurants across Manchester to such a high standard that those venues advertise it proudly. When other businesses are buying your product and advertising your quality, you know you're good. Exceptional business.",Colin O.,5 star rating
