Number Of Reviews',Reviewer Name,Location,Review Date,Review Title,Review Text,Date Of Experience,Star Rating,Response Date,Response Text,Bakery Name,Overall Rating
1 review,Peter Brownwood,GB,17-Jan-24,All ways good quality food,"All ways good quality food. Very fresh, and delivered in quick time. Will be ordering again soon. Service is excellent.",Date of experience: 01 February 2023,Rated 4 out of 5 stars,,,We Deliver Fresh,4.9
13 reviews,Theresa Lavelle,GB,15-Jul-22,The food was excellent,"The food was excellent, fresh handmade sausages and cakes, and fresh veg, better than supermarket quality, delivered early the next day. Great price and free delivery, what more could you want, definitely order again! And friendly delivery driver! five stars all round.",Date of experience: 15 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
20 reviews,Mrs Crook,GB,19-Aug-22,"May be fruit ,vegetables","May be fruit ,vegetables, bakery ,fish, meat, dairy .
this week make your own pizza included in my order
all very well packed in different appropriate small containers boxes. Would truthfully say it’s all superb and no hesitation in recommending We Deliver Fresh.",Date of experience: 19 August 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
8 reviews,ALEXANDRA WANNELL,GB,18-Feb-22,Love deliver fresh.,Love deliver fresh ordered quite a few times always fresh fruit and veg and their burner rolls are delicious with their fresh sausages and bacon and tray eggs absolutely far better than supermarkets. Deserve a million stars not just 5. Delivery is always on time slot chosen and delivery guy is very polite and cheerful. Deliver fresh keep up the brilliant work.,Date of experience: 18 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
26 reviews,Maria Gibson,GB,24-Apr-23,Fantastic,"Always a brilliant friendly service. My delivery always arrives when expected and is always packaged with so much care in boxes or cardboard trays, your always met with such a friendly face. I cannot fault we deliver fresh all of the products i order are always so fresh and the quality is beautiful i highly recommend to everyone and will definitely be making many more purchases. Thank you for everything you are doing.",Date of experience: 11 April 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
9 reviews,Mrs D Bergelin,GB,09-Feb-23,These wonderful people are a life line…,"These wonderful people are a life line for us. Especially after leaving hospital and being too ill to go out. Plus the quality, freshness of all produce is so good it allows us to buy and take our time to consume it without wastage. Honestly I have recommended you far and wide and to all the ladies I was in hospital with as you can buy 1 item or as many as you want. So convenient. So delicious as the local suppliers are all A1 quality sellers. Love the lack of plastic packaging too. All is reusable or recycled. The people are so friendly and helpful and give excellent customer "" old fashioned"" service where the customer is paramount. Thank you. Long may you have great success - D&D",Date of experience: 08 February 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Sharon Stanley,GB,01-Feb-22,"Can't fault quality, value for money","Had weekly deliveries for months.  Everything is so fresh and tasty, much better quality than supermarket fruit and veg.  Pies and cakes also amazing, don't want to shop anywhere else.  Deliveries always made with a smile.",Date of experience: 01 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
6 reviews,MRS SUSAN GARDNER,GB,25-Oct-22,"First class, blemish free fruit and vegetables","We have ordered from WDF for over a year and never been dissapointed. All the produce has been first class and where possible is in brown paper bags to minimise plastic waste. A lovely, helpful and friendly delivery driver completes the perfect experience.",Date of experience: 25 October 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
21 reviews,Christina M,GB,22-Mar-23,Always great produce,"Always great produce and friendly delivery people.
I have however only given 4 starts as I find the website really painful as it is so slow and there are so many clicks to add and then get back.
I want to mention it so that you can maybe look into making it less clunky.
Apart from the website I love this place.",Date of experience: 22 March 2023,Rated 4 out of 5 stars,21-Jun-23,We understand how painful the website is at the moment. We are in the process of a new one being built which will be a lot quicker and user friendly,We Deliver Fresh,4.9
9 reviews,Carla Williams,GB,27-May-22,I was looking for a salad,"I was looking for a salad, fruit and veg box with no subscription.
And I came across this site. And very reasonable costs.
Fabulous service. Ordered late Friday afternoon, and arrived Sat am. 5* food. 5* service. Will definitely be buying again.",Date of experience: 27 May 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
7 reviews,Rachel Mitchell,GB,12-Dec-22,Great service and quality,We've used 'We Deliver Fresh' in the past and during the pandemic lock down and they have a great variety of produce to choose from. They are local and deliver quickly. Would highly recommend this company to anyone local in Blackpool.,Date of experience: 12 December 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
18 reviews,Heather pullen,GB,06-Jul-23,I've been ordering from this business…,I've been ordering from this business for a few years now... I have never had any problems... the delivery is always on time the drivers are always polite and helpful and the quality of the food is always 1st class... and the price is always fair...,Date of experience: 04 July 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,Zach  Eaves,GB,12-Mar-23,Better than supermarkets,"Produce is always really fresh, tastes better and lasts way longer compared to supermarket produce. Everything is also very well priced. Can’t fault the customer service either.",Date of experience: 23 February 2023,Rated 5 out of 5 stars,15-Mar-23,Thank you so much for taking the time leaving us a review. We always love to hear positive feedback,We Deliver Fresh,4.9
2 reviews,pawel Liberda,GB,12-May-23,Everything what we need.,"Easy and free -  next day delivery, fresh and tasty products, sensible prices and polite drivers-  do you need anything more ? Highly recommended ??",Date of experience: 09 May 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
16 reviews,Andy Perry,GB,02-Sep-22,Don't miss these wonderful goods,"Unbeatable goods, fresh, tasty, produce. Pies that are second to none, crumble to die for. Simply fantastic with fast, friendly delivery. Supermarkets can get lost, I don't need you.",Date of experience: 30 August 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
12 reviews,SpenE,GB,15-Mar-23,Top Quality,Highly recommended! Everything I received was so fresh and the best quality. I can’t believe the rubbish I’ve been purchasing lately elsewhere. I’ll certainly be buying again.,Date of experience: 15 March 2023,Rated 5 out of 5 stars,15-Mar-23,Thank you so much for taking the time leaving us a review. We always love to hear positive feedback,We Deliver Fresh,4.9
3 reviews,julie moorby,GB,09-Nov-22,Absolutely perfect again,"Absolutely perfect again, everything was so fresh. The tomato sausage and pork sausage are lovely and not fatty at all. The veggies are very fresh and last. Absolutely recommend we deliver fresh 100%",Date of experience: 04 November 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
5 reviews,Debra Nice,GB,07-Mar-23,"7,3,2023  Always Great service from we…","7,3,2023  Always Great service from we deliver fresh I love the products always fresh and Great quality Food and excellent people. ?? Thank you for all you do bless you all ?? kind regards Debra",Date of experience: 06 March 2023,Rated 5 out of 5 stars,15-Mar-23,Thank you so much for taking the time leaving us a review. We always love to hear positive feedback,We Deliver Fresh,4.9
22 reviews,Tim Grace    Email address,GB,13-May-22,Used We Deliver Fresh for the first time,"Used We Deliver Fresh for the first time and can’t fault anything. Easy to navigate the web site, easy to pay, easy to pick a delivery date and time, driver very friendly and the quality of food is excellent. Will certainly use again.",Date of experience: 13 May 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
